"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed"
"additional reading",NA,NA,6,"prose","There were around five of Balaji's short articles relating to each of the four parts, plus a summing-up as the final article of the set. We have called the revi | So firstly, carefully read through Balaji's Prelude C and then *DemDim* pages 274–276, making notes on where you see the links between them. Prelude C very help | The details of how we'll work through Part C are somewhat different from the procedure we use in the other three parts. Not only is Deming's writing particularl",TRUE
"additivity property",NA,NA,6,"prose","So, if expected values can be *added* together, perhaps a natural follow-on question is whether they can be straightforwardly *multiplied* together. That's not  | To begin with, let's restate the results about expected values derived in the previous section. First we had the additivity property. We started with the simple | Similarly to the additivity property, this is also extendable to more than two independent random variables.",TRUE
"adjacent values",NA,NA,6,"prose","Apart from the feature of possibly wandering off to relatively enormous distances from wherever it starts, there is another aspect of Rule 4 which is often seen | But, with our knowledge of what Rule 2 is, isn't that precisely what we would expect? Rule 2's compensation mechanism virtually ensures that particularly high v | !Two short Rule 4 control charts: the tight zig-zag of adjacent values pulls the control limits very close together, and both baselines already contain points p",TRUE
"am sure",NA,NA,6,"prose","What do you think—is the trait of competing against each other and its consequences *born* with us or was it *acquired* by us? I am sure that very many of us ha | I know of the following long-established and active Deming-based groups in the UK, although there may possibly be more. One is the Deming Alliance which began i | However, in my early days of studying Dr Deming’s work, I also found it useful to enjoy some lighter read- ing—I am sure the relevant authors will not object to",TRUE
"annual performance",NA,NA,6,"prose","What I mean by the second category is guidance and help for you to understand how to try to contribute well to the organisation's and/or your team's needs and o | *Before John had become familiar with Dr Deming's teaching, he was clearly quite surprised when he saw what happened when his own company started introducing (a | ### Annual performance reviews",TRUE
"area thereunder",NA,NA,6,"prose","> ""It would … be wrong to attach any particular figure to the probability that a statistical signal for detection of a special cause could be wrong, or that the | We know how we could do it *approximately* by the method we have already demonstrated in this and the previous section: get lots of data from that normal distri | On the next page there are the same three ""graphs of the normal curve"" as above but now with some ""proportions of area thereunder"" inserted. So, as an example, ",TRUE
"arrival time",NA,NA,6,"prose","So I learned that the variation in the arrival-time of the bus seriously affected my quality of life! Note that the variation was actually more important than t | Suggest some of the possible causes of variation in the arrival-time of my school bus. | Being guided by the thoughts about prison riots, factors which result in somewhat random fluctuations from day to day would be interpreted as *common* causes, w",TRUE
"average value",NA,NA,6,"prose","Failure to understand variation in tests delayed some years the science of genetics. Ratios of (e.g.) tall and dwarf peas varied wildly below and above nature's | We shall make further use of this concept of long-term average values in this Technical Section. But ""long-term average value"" is also rather a mouthful. And so | With a discrete distribution, sometimes is a possible value of . For example, when we considered tossing two coins and counting the number of Heads, then , i.e.",TRUE
"barriers between departments",NA,NA,6,"prose","The strong link here is wholly obvious. But note the implications concerning management style. Anything (and there is often much) that management does to erect  | **Break down barriers between departments and staff areas.** People in different areas, such as Research, Design, Sales, Administration, and Production, must wo | **POINT 9.** [Break down barriers between departments and staff areas.] *(Day 5 pages 6--7.)*",TRUE
"baseline lengths",NA,NA,6,"prose","There's only one way I know of finding out—yes, another computer simulation. This one was quite easy to write. All that was needed was to (a) generate a-few-at- | If you have a conventional Statistics background, you may well be a little startled by how short my suggested baseline lengths are. The general sense in convent | If and when you have the time, you could gain some useful experience quite quickly about the pros and cons of using different lengths of baseline by carrying ou",TRUE
