"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed","approved_fr","decision","reviewer_notes"
"individual student",,,5,"prose","Although, as always, I am including some suggested timings, today's very straightforward four-part structure will make it easy for you to adapt them, if desired | Finally, while developing this course, I have primarily been thinking of it as being used for self-study so that, in particular, the activities are reasonable a",TRUE,,,
"institute leadership aimed",,,5,"prose","**Adopt and institute leadership aimed at helping people to do a better job.** The responsibility of managers and supervisors must be changed from sheer numbers | **POINT 7.** [Adopt and institute leadership aimed at helping people to do a better job.] *(Day 5 pages 2--3.)*",TRUE,,,
"Institute modern",,,5,"prose","**Institute modern methods of training** for everybody's job, including management, to make better use of every employee. New skills are required to keep up wit | **POINT 6.** [Institute modern methods of training.] *(Day 4 pages 26--27.)*",TRUE,,,
"Institute modern methods",,,5,"prose","**Institute modern methods of training** for everybody's job, including management, to make better use of every employee. New skills are required to keep up wit | **POINT 6.** [Institute modern methods of training.] *(Day 4 pages 26--27.)*",TRUE,,,
"interpret control",,,5,"prose","- A very long while ago, I used to teach control-charting the “conventional” way, i.e. trying to interpret control limits in terms of probabilities, saying that | - Awareness of the distinction between common and special causes of variation and of how to interpret control charts; - Learning how to ask the right questions; | Let me re-emphasise that what follows, all the way up to page 34, is effectively ""extra-curricular"" as far as this course is concerned. Neither this afternoon's",TRUE,,,
"introductory Statistics course",,,5,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | So I'd better try some brief explanations in my own words! ""Analytic studies"" are indeed what we have been involved with, particularly in the early days of *12  | ### A typical syllabus for an introductory Statistics course",TRUE,,,
"invisible figures",,,5,"prose","With that summary of invisible figures in mind, the obstructive effect to real quality of dependence on only visible figures becomes immediately evident—frighte | The summary already includes the value of a specific team as amongst the important invisible figures. How much more massive and yet invisible (regarding actual  | The big gain is not the \$500 per year that the men saved. What is important is that these men could now take pride in the improvement. They felt important to t",TRUE,,,
"it's easy",,,5,"prose","Attempting to judge quality as conformance to specifications has one advantage for those doing the judging: it's easy! Set a specification (i.e. choose one or t | [] In this sort of case, the sample mean cannot really do a very good job of genuinely reflecting the typical kind of values being recorded: it will still be a  | The best way to do this that I can think of is to employ a very useful technique called ""mathematical induction"". Mathematical induction works in a case such as",TRUE,,,
"it's rather",,,5,"prose","And how about the second of the pair of control charts, the *R*-chart, on which we plot subgroup ranges? Obviously enough, the Central Line here will be the mea | If the value of σ is known then the first and last parts of this relationship can be evaluated, thus providing an interval within which we ""are 95% confident th | It should also be noted that there is a considerable non-symmetry in such a testing procedure. If we consider continuous distributions in particular then, while",TRUE,,,
"it's time",,,5,"prose","Of course, usually our sample sizes *n* are rather small compared with "" ""! But what makes the Central Limit Theorem even more attractive is that, almost always | Next, as I had to do when running the experiment for the statisticians, it's time for you to multi-task! You now take over as the Recorder and draw a run chart  | Now it's time to take a break to watch the video *Management's Five Deadly Diseases* (see the link on page 1). Delegates used to appreciate my description of th",TRUE,,,
